position,skills
Graphic/Web Designer,"Photoshop,Illustrator,UX,User interface designing,Tool design,Web application"
Other,"Learning,Need Analysis,People Development,Talent Development"
Software Developer,"application development,xml,multithreading,development,c,google,gps,xcode,opengl,iphone,cocoa,animation,sql,objective c,java,application,web,design,oops,debugging,applications"
Software Developer,"SAN,Coding,Debugging,Computer science,Analytical,Issue resolution,Application software,Programming,Software design,Tool design"
Software Developer,Software Developer
Client Relationship Manager,"Brd,Writing Test Cases,SCOPE,Project Management,Technology Solutions,Execution,Business Analysis,Planning,Quantity Analysis,Tracking"
Telecalling/Telemarketing Executive,"international bpo,customer support,customer service,customer care executive,international call center,tech mahindra,BPO,Voice Process,call center,fresher,bpo fresher,Customer Care"
Client Servicing/Key Account Manager,"verizon,customer service,bi,microsoft azure,google,cloud technologies,customer success manager,amazon,cloud,saas,Consulting,key accounts,big data"
Associate/Senior Associate -(Technical),"Bonus,Sales Associate,Technical support,Issue,Senior,Technical,Inbound calls,US shift,Software"
F&B Manager,"Material Control,Stock Taking,Accounting System,Finance,Liquor,HR,CSR Activities,Budgeting,Beverage,Analytics Reporting"
Direct Marketing Executive,"techno - commercial,Sales Executive,Marketing Executive,Proposal Preparation,tender"
Software Developer,"Data migration,cyber security,XML,Analytical,Consulting,Software development life cycle,XSLT,Security operations,Information technology"
Teacher/ Private Tutor,Tutor
Clinical Research Manager,"medical coding,DSA,case processing,drug safety,pharmacovigilance"
Testing Engineer,"development,test case writing,testing,dns,test plan,networking,ccna,unix,dhcp"
Business Analyst,"Computer science,MIS reporting,data services,Business Analyst,Rational rose,Analytical,Data quality,Visio,SQL"
Sales Executive/Officer,"Field Sales,Sales Executive Activities"
Financial Analyst,"Accounting,Settlements"
Trainee,"Excel,Documentation"
Design Engineer,"ethernet,qt,usb,graphical user interface,linux,gui,windows,vb"
Sales/Business Development Manager,"Business Development Management,Bdm,Real Estate,Selling,sales,direct sales,sales marketing,Revenue Generation"
Accounts Executive/Accountant,"Taxation,MIS,Budgeting,Reconciliation,Analytical,Depreciation,Waste management,Root cause analysis,Accounting,Quality improvement"
Production Manager,"Production supervisor,Auto Cad,Production Management,Documentation,Production Supervising,Dispatch,Labour Management,Store Management,Supervision"
Software Developer,"SQL,Ajax,SEO,jQuery,Web development,SEM,JSON,Stored procedures,Customer service,Content management"
Software Developer,"javascript,problem solving skills,jquery,sql lite,object oriented programming,team player,html css,working,html 5,html5"
Technical Architect,"Azure,Cloud,Configuration Management,Hyper - V,VMware,IT Infrastructure,Virtualization,AWS,IaaS,PaaS"
Team Leader -(NonTechnical),"Service Level,Effective Communication,General Insurance,Training Needs,Outbound Sales,Subject Matter Expertise,Insurance,Team Leading,Senior Management,Operations Management"
Software Developer,"Usage,Javascript,MongoDB,CSS,development,technical,application,html5,design,quality"
Gynaeocologist,"Team Management,infertility"
Software Developer,"Javascript,CSS,JQuery,Core PHP,MySQL,XHTML,Apache,Unit Testing"
Software Developer,"Hibernate,Core Java,Agile,Struts,JSON,Scrum,Troubleshooting,cisco,Analytics,SQL"
System Analyst,"Configuring,Upgrade,Troubleshooting,Installation,Product Life Cycle,Shell Scripting,Unix,Weblogic,maintenance"
Software Developer,"Embedded,AUTOSAR,UDS,FlexRay,LIN,Ethernet,GPS,Automotive"
Software Developer,"Retail Business,ILE,Pkms,AS400,RPG,RPGLE,CLLE,Warehouse Management,RPGILE,SQL"
Civil Engineer-Highway/Roadway,"Bridge Design,Highway Design,Highway Engineering,Design Engineering"
Associate/Senior Associate -(NonTechnical),"BPO,KPO,school,Communication Skills,backend,blended,fresher,hcl,aegis,claims,insurance,us healthcare,wipro"
Direct Marketing Executive,"Promotions,Field Marketing,Catalog Management,Data Entry,Promotional Events,Marketing,B2B Marketing"
Associate/Senior Associate -(NonTechnical),Market Research
Sales/Business Development Manager,"Staffing,Relationship,Investigation,Business Development Executive,Client acquisition,Management,Revenue generation,Client management,Recruitment"
Graphic Designer,"photoshop,Adobe After Effects"
Sales/Business Development Manager,"warehouse management system,marketing,supply chain,contract logistics,new business,business strategy,logistics,business development management,client management,business development,business planning,3pl"
Sales Executive/Officer,"market research,customer profiling,sales executive,marketing executive,distributors,Business Development,sales strategy"
Software Developer,"Java,HTML5,Junit,Polymer,J2EE,CSS3"
Finance/Budgeting Manager,Finance Manager
Sales/Business Development Manager,",selling,bpo,fshore,international sales relationship management,development executive,marketing"
Outside Consultant,"Consulting,Analytics,Financial services,Cism,Managed services,Operational risk,Cisa,Information security,Social media,Information technology"
Testing Engineer,"Data analytics,SOA,Automation,Manager Quality Assurance,Business intelligence,SDLC,Workflow,Selenium,Test cases,Product management"
Software Developer,"Shell scripting,Python,Information technology,Test cases,Test planning,Test scripts,Front office,Defect tracking,Process improvement,Test scenarios"
Software Developer,"Devops,Kubernetes,Docker,AWS,CI / CD Tool,Automation,Deployment,Back - end Database,Performance Security,EC2,ElastiCache,S3,CloudFront,RDBMS,NoSQL MySQL,SQL Server,MongoDB,GIT,SVN,Jenkins,DNS,LogicMonitor,New Relic,AppDynamic"
Software Developer,"Javascript,JQuery,UI Development,CSS,Html5,GIT,Front End,Protractor,User Experience,Agile Development,AWS,Akamai"
Fresher,"Office Coordination,office administration,office assistant,Office Assistance"
Team Lead/Technical Lead,"RCA,Automation,Data migration,Test strategy,Coding,Integration testing,Stored procedures,SCM,Monitoring"
Software Developer,"Jenkins,Maven,devops,Cloud,aws,big data"
Telesales/Telemarketing Executive/Officer,"Usage,Portfolio,Database,Business Executive,Secondary research"
Testing Engineer,"JCL,Cobol,Db2,Mainframes,Mainframe Testing,Communication Skills,testing"
Purchase/Vendor Development Manager,Bop
Software Developer,"Java,Struts"
Marketing Manager,"SEO,PPC,Customer relationship,Proof reading,Campaign planning,Lead generation,Copy writing,Web content,Quality Lead,B2B Marketing"
Workman/Foreman/Technician,"R&D,Production,Manufacturing,Maintenance,ProjectManagement"
Recruitment Executive,"Screening,Linkedin,MIS Preparation,Communication Skills,Written Communication,Hiring,Portal,HR,Recruitment"
Team Leader -(NonTechnical),"Team Management,Aml,Online Research,Anti Money Laundering,Professional Services,Excel,KYC,Secondary Research,TL,Quality Compliance,Team Leading,Due Diligence"
Team Lead/Technical Lead,"successfactors,SAP HCM,Onboarding"
Assistant Manager/Manager-(NonTechnical),"Computer science,Google Analytics,On-page optimization,XML,Analytical,Google AdWords,HTML,SEM,Link building,SEO"
DBA,"development,java,oracle,btech,tuning,data modeling,computer science,hibernate,database administration,ba"
Project Lead,"Computer science,Coaching,Architecture,Staffing,Cognos,Pharma,Customer Executive,MSP,Management,Quality management"
Animation/Graphic Artist,"digital,linux,html"
Executive/ Sr Executive - Administration,"Office Executive,Administration work,Office Administrator,Assistant Administrator,Architecture,Recruitment"
Software Developer,"Oracle,Unix,Linux,Weblogic,Websphere,Shell scripting,Automation,SCM,SDLC,Middleware"
Other,"Service Engineering,Maintenance,Biomedical"
Software Developer,"Java,Azure,Ruby on Rails,OOPS,Cloud,Javascript,MongoDB,JSON,AWS,Algorithm,Python"
Design Engineer,Creo
Service/Maintenance Engineer,"Training,Cutting tools,Automation,Mechatronics,Customer satisfaction,Mechanical,Machine building,Technical support,Recruitment"
Sales/Business Development Manager,"Market development,Claims,Nursing,Pharma,MIS,Analytical,Relationship building,Healthcare,Wholesale,Account planning"
Design Engineer,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Software Developer,"Computer science,Cloud computing,Backend,github,Front end,NoSQL,cassandra,SCALA,Agile,MongoDB"
Associate/Senior Associate -(NonTechnical),"process,B2B,Outbound process,Bonus,Time,International BPO,Open"
Software Developer,"HTML,CSS,Spring Boot,JSON,Angularjs,XML,Java,Spring Security,MongoDB,Vaadin,Devops,React.Js,AWS,Docker,Helm,Ansible"
Software Developer,"Application design,Solution design,bca,development,level,Cost management,mca,Solution architecting,quality,application,Consulting,Cloud,design,Design development,Oracle,Hyperion financial management,Hyperion planning,email"
Outside Consultant,"Java,JMS,MQ,Javascript,Project Implementation,SAP PI,SAP Implementation,Scripting"
Fresher,"MS Office,ms excel,Powerpoint,powerpoint presentation"
System Administrator,"Linux Administration,Linux,Veritas,Veritas Cluster"
Business Analyst,"time series analysis,tableau,sas,marketing analytics,forecasting,business analysis,segmentation,statistical analysis,sql"
Software Developer,"C#,OOPS,Javascript,.Net,MVC,ASP,AJAX"
System Analyst,"aws,devops,microsoft azure,ansible,Cloud Computing,Scripting"
R&D Executive,"Product engineering,Prototype,Billing,SAN,Usage,French,Focus,Javascript,Continuous improvement,Visual Design"
Software Developer,"Unix,Linux,Oracle,JMS,Hibernate,Websphere,Production support,MVC,Stored procedures,SDLC"
Outside Consultant,"Predictive Modeling,SAS,Credit Risk,Statistical Modeling,Data Visualization,Econometrics,Risk Modeling,Statistics,Analytics,SQL"
Construction-General Building,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Software Developer,"Requirements Management,Software Development,Bug Tracking,Design Development,Written Communication,Software Engineering,Problem Solving,Problem Analysis,Business Process Analysis,Agile Development"
Trainee,"Unity 3D,Games,3D Animation"
Treasury Operations Manager,"transaction processing,rate,treasury,RTGS,interbank,forex,finance,reconciliation"
Construction-Heavy,"execution,safety training,quality control,Project Management,project review,quality assurance,Commercial Projects,cost management,maintenance,project planning,cost estimation"
Service/Maintenance Engineer,"Data Management,Advanced Excel,Macros"
Head/VP/GM/National Manager -Sales,"Sales Head,Sales,Selling,Sales Strategy,Sales Planning"
Graphic Designer,"Creative,Illustrator,Layout,Corporate identity,Photoshop,Adobe,Software services,Indesign,Typography"
Program Manager,"Antivirus,Security Management,Encryption,Endpoint Security"
Executive/ Sr Executive - Administration,"Administration,Routing,admin executive"
Purchase Executive,"Purchase,vendor development,procurement,vd"
Physiotherapist,Occupational Therapist
Direct Marketing Executive,"Marketing,market research,customer profiling,sales executive,marketing executive,distributors,Business Development,sales strategy"
Telecalling/Telemarketing Executive,"Customer Support,Customer Complaints,Telecalling,Customer Service,customer care executive,customer care officer,customer support officer,cso,cse,customer care"
Sales/Business Development Manager,"Upselling,Cross Selling,Effective Communication Skills,Negotiation Skills,Region,Sales Management,Sales Planning"
Team Lead/Technical Lead,"java,j2ee,solution delivery,software development,high level design,requirement analysis,project implementation,coding,unit testing"
